id,observed_on,user_id,place_guess,latitude,longitude,positional_accuracy,scientific_name_sub,common_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_subspecies_name,scientific_name
336399,2009-11-21,15211,"Beagle Channel, Ushuaia, Tierra del Fuego province, Argentina.",-54.867678,-67.466637,38.0,Leucocarbo magellanicus,Cormorán cuello negro,1289600,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo magellanicus
568157,2013-12-22,10201,"Tierra del Fuego National Park, Ushuaia",-54.828777,-68.558121,1225.0,Enicognathus ferrugineus,Cachaña,19262,Psittaciformes,Psittacidae,Enicognathus,,Enicognathus ferrugineus
568760,2013-12-22,10201,"Tierra del Fuego National Park, Ushuaia",-54.853885,-68.57666,611.0,Spinus barbatus,Cabecitanegra austral,145321,Passeriformes,Fringillidae,Spinus,,Spinus barbatus
568802,2013-12-22,10201,"Tierra del Fuego National Park, Ushuaia",-54.844298,-68.564987,305.0,Lessonia rufa,Sobrepuesto austral,17310,Passeriformes,Tyrannidae,Lessonia,,Lessonia rufa
568816,2013-12-22,10201,"Tierra del Fuego National Park, Ushuaia",-54.854478,-68.573914,2446.0,Zonotrichia capensis,Chingolo,9183,Passeriformes,Passerellidae,Zonotrichia,,Zonotrichia capensis
568820,2013-12-22,10201,"Tierra del Fuego National Park, Ushuaia",-54.832139,-68.563271,2448.0,Theristicus melanopis,Bandurria austral,980018,Pelecaniformes,Threskiornithidae,Theristicus,,Theristicus melanopis
606317,2014-01-30,1178,"Ushuaia, Tierra del Fuego, Argentina",-54.8598694444,-68.5629744444,20.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
606442,2014-01-30,1178,"Tierra del Fuego, AR-TF-US, AR-TF, AR",-54.852081,-68.580287,135.0,Daptrius chimango,Chimango,1432781,Falconiformes,Falconidae,Daptrius,,Daptrius chimango
606460,2014-01-31,1178,"Ushuaia, AR-TF, AR",-54.807669,-68.302723,9.0,Nycticorax nycticorax,Garza bruja,4981,Pelecaniformes,Ardeidae,Nycticorax,,Nycticorax nycticorax
3433684,2012-10-29,16522,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8007247248,-68.2850983168,1798.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
3433686,2012-10-29,16522,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8007247248,-68.2850983168,1798.0,Cinclodes patagonicus,Remolinera araucana,11379,Passeriformes,Furnariidae,Cinclodes,,Cinclodes patagonicus
3433687,2012-10-29,16522,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8007247248,-68.2850983168,1798.0,Leucocarbo magellanicus,Cormorán cuello negro,1289600,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo magellanicus
3439495,2006-02-03,16522,"Ushuaia, Tierra del Fuego Province, Argentina",-54.804276397,-68.2947115142,1535.0,Lophonetta specularioides,Pato Crestón,72994,Anseriformes,Anatidae,Lophonetta,,Lophonetta specularioides
4488457,2016-11-03,101945,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8090452343,-68.3085250854,347.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
9603771,2018-01-08,222263,"Lapataia Bay, Tierra del Fuego, Ushuaia, Tierra del Fuego, Argentina",-54.8555319314,-68.5721314061,30.0,Geranoaetus melanoleucus,Águila mora,5422,Accipitriformes,Accipitridae,Geranoaetus,,Geranoaetus melanoleucus
9606849,2018-01-08,222263,"Ushuaia harbor, Argentina",-54.8171796847,-68.2789306599,1000.0,Leucocarbo atriceps,Cormorán imperial,1289591,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo atriceps
9650142,2018-01-08,222263,"Park National Tierra del Fuego, Tierra del Fuego, Argentina",-54.8426045506,-68.5656054318,1000.0,Podiceps major,Macá grande,4229,Podicipediformes,Podicipedidae,Podiceps,,Podiceps major
9685465,2015-03-13,734363,"Ushuaia, Tierra del Fuego, Argentine",-54.8566969387,-68.4229561332,173.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
9990554,2018-01-30,682415,"Ushuaia, Tierra del Fuego, Argentina",-54.8411349495,-68.5595798492,66.0,Phrygilus patagonicus,Comesebo patagónico,10089,Passeriformes,Thraupidae,Phrygilus,,Phrygilus patagonicus
9990555,2018-01-30,682415,"Ushuaia, Tierra del Fuego, Argentina",-54.8310756645,-68.563914299,61.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
9990556,2018-01-30,682415,"Ushuaia, Tierra del Fuego, Argentina",-54.8308037571,-68.5636889935,15.0,Zonotrichia capensis,Chingolo,9183,Passeriformes,Passerellidae,Zonotrichia,,Zonotrichia capensis
9990558,2018-01-30,682415,"Ushuaia, Tierra del Fuego, Argentina",-54.8366987925,-68.5638391972,15.0,Cygnus melancoryphus,Cisne cuello negro,72789,Anseriformes,Anatidae,Cygnus,,Cygnus melancoryphus
9990612,2018-01-29,682415,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8068378202,-68.3002209663,15.0,Vanellus chilensis,Tero,4867,Charadriiformes,Charadriidae,Vanellus,,Vanellus chilensis
9990614,2018-01-29,682415,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8062751268,-68.2981824875,61.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
9990615,2018-01-30,682415,"Ushuaia, AR-TF, AR",-54.8070913389,-68.2974100113,61.0,Sterna hirundinacea,Gaviotín sudamericano,4454,Charadriiformes,Laridae,Sterna,,Sterna hirundinacea
9996058,2018-01-29,682415,"Ushuaia, AR-TF, AR",-54.8077096704,-68.2991695404,122.0,Leucocarbo magellanicus,Cormorán cuello negro,1289600,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo magellanicus
10203065,2018-03-03,16131,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8019121,-68.3029511,1960.0,Sterna hirundinacea,Gaviotín sudamericano,4454,Charadriiformes,Laridae,Sterna,,Sterna hirundinacea
10203066,2018-03-03,16131,"Ushuaia, Tierra del Fuego Province, Argentina",-54.8019121,-68.3029511,1960.0,Cinclodes fuscus,Remolinera parda,11397,Passeriformes,Furnariidae,Cinclodes,,Cinclodes fuscus
12104145,2010-10-28,824095,"Ushuaia, Terra do Fogo, Argentina",-54.8549561912,-68.5781088477,122.0,Curaeus curaeus,Tordo patagónico,10307,Passeriformes,Icteridae,Curaeus,,Curaeus curaeus
12104163,2010-10-28,824095,"Ushuaia, Terra do Fogo, Argentina",-54.8525258538,-68.575630188,61.0,Daptrius chimango,Chimango,1432781,Falconiformes,Falconidae,Daptrius,,Daptrius chimango
12747497,2005-02-21,956156,"Ushuaia, AR-TF, AR",-54.82185,-68.30338,500.0,Theristicus melanopis,Bandurria austral,980018,Pelecaniformes,Threskiornithidae,Theristicus,,Theristicus melanopis
13351968,2018-02-07,1020734,"Tierra del Fuego, Argentina",-54.7862254,-68.4028492,173.0,Muscisaxicola flavinucha,Dormilona fraile,16160,Passeriformes,Tyrannidae,Muscisaxicola,,Muscisaxicola flavinucha
14177674,2018-01-24,930841,"Glaciar Martial, Ushuaia, Tierra del Fuego, Argentina",-54.7897805018,-68.3923735702,124.0,Muscisaxicola maclovianus,Dormilona cara negra,16156,Passeriformes,Tyrannidae,Muscisaxicola,,Muscisaxicola maclovianus
14848978,2013-11-22,931389,Estancia Harberton Tierra del Fuego,-54.8795297712,-67.3270306286,1287.0,Cygnus melancoryphus,Cisne cuello negro,72789,Anseriformes,Anatidae,Cygnus,,Cygnus melancoryphus
14897035,2009-12-28,1005836,"Ushuaia, Vuurland, Argentinië",-54.8019121,-68.3029511,951.0,Theristicus melanopis,Bandurria austral,980018,Pelecaniformes,Threskiornithidae,Theristicus,,Theristicus melanopis
14897036,2009-12-28,1005836,"Ushuaia, Vuurland, Argentinië",-54.8019121,-68.3029511,951.0,Gallinago magellanica,Becasina Patagónica,1286949,Charadriiformes,Scolopacidae,Gallinago,,Gallinago magellanica
14935461,2010-01-05,1005836,"Ushuaia, Vuurland, Argentinië",-54.8019121,-68.3029511,1519.0,Haematopus ater,Ostrero negro,4852,Charadriiformes,Haematopodidae,Haematopus,,Haematopus ater
14935462,2010-01-05,1005836,"Ushuaia, Vuurland, Argentinië",-54.8019121,-68.3029511,1519.0,Nycticorax nycticorax,Garza bruja,4981,Pelecaniformes,Ardeidae,Nycticorax,,Nycticorax nycticorax
17800345,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8080071574,-68.3636410747,485.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
17800347,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8062721212,-68.364928535,430.0,Anas flavirostris,Pato Barcino,6947,Anseriformes,Anatidae,Anas,,Anas flavirostris
17800358,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8058839999,-68.3653454646,122.0,Muscisaxicola maclovianus,Dormilona cara negra,16156,Passeriformes,Tyrannidae,Muscisaxicola,,Muscisaxicola maclovianus
17800361,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8078626867,-68.363028036,122.0,Phrygilus patagonicus,Comesebo patagónico,10089,Passeriformes,Thraupidae,Phrygilus,,Phrygilus patagonicus
17800554,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.7893072217,-68.2524494088,551.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
17800555,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.789079717,-68.2532981747,651.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
17800556,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.7901980079,-68.2497028267,513.0,Geranoaetus melanoleucus,Águila mora,5422,Accipitriformes,Accipitridae,Geranoaetus,,Geranoaetus melanoleucus
17800560,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.7899010813,-68.2520740469,518.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
17800561,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.79128672,-68.2511299093,535.0,Daptrius albogularis,Matamico blanco,1432784,Falconiformes,Falconidae,Daptrius,,Daptrius albogularis
17800562,2018-10-21,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.7912731648,-68.2494991262,474.0,Geranoaetus melanoleucus,Águila mora,5422,Accipitriformes,Accipitridae,Geranoaetus,,Geranoaetus melanoleucus
17805208,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8460401675,-68.5495762083,882.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
17805212,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.838231177,-68.5552410338,244.0,Enicognathus ferrugineus,Cachaña,19262,Psittaciformes,Psittacidae,Enicognathus,,Enicognathus ferrugineus
17805213,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8391208851,-68.5581592772,244.0,Cygnus melancoryphus,Cisne cuello negro,72789,Anseriformes,Anatidae,Cygnus,,Cygnus melancoryphus
17805214,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.841097944,-68.5586742613,244.0,Glaucidium nana,Caburé grande,144595,Strigiformes,Strigidae,Glaucidium,,Glaucidium nana
17805215,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8426795214,-68.559017584,244.0,Pyrope pyrope,Diucón,1289529,Passeriformes,Tyrannidae,Pyrope,,Pyrope pyrope
17805224,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8419875889,-68.5655407164,244.0,Haematopus leucopodus,Ostrero austral,4850,Charadriiformes,Haematopodidae,Haematopus,,Haematopus leucopodus
17805225,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8415921936,-68.5609058592,244.0,Curaeus curaeus reynoldsi,,722240,Passeriformes,Icteridae,Curaeus,Curaeus curaeus reynoldsi,Curaeus curaeus
17805228,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8443598794,-68.5615925047,244.0,Phrygilus patagonicus,Comesebo patagónico,10089,Passeriformes,Thraupidae,Phrygilus,,Phrygilus patagonicus
17805335,2018-10-22,50445,"Ushuaia, Tierra del Fuego, Argentina",-54.8056551164,-68.2918361538,508.0,Mareca sibilatrix,Pato Overo,558442,Anseriformes,Anatidae,Mareca,,Mareca sibilatrix
17805336,2018-10-22,50445,"Ushuaia, AR-TF, AR",-54.8049031601,-68.2904676333,377.0,Calidris bairdii,Playerito unicolor,3851,Charadriiformes,Scolopacidae,Calidris,,Calidris bairdii
17805339,2018-10-22,50445,"Ushuaia, AR-TF, AR",-54.8048536905,-68.2882360354,259.0,Lessonia rufa,Sobrepuesto austral,17310,Passeriformes,Tyrannidae,Lessonia,,Lessonia rufa
