common_name,scientific_name,latitude,longitude,observed_on,grid_id
Cormorán cuello negro,Leucocarbo magellanicus,-54.867678,-67.466637,2009-11-21,199
Cachaña,Enicognathus ferrugineus,-54.828777,-68.558121,2013-12-22,230
Cabecitanegra austral,Spinus barbatus,-54.853885,-68.57666,2013-12-22,184
Sobrepuesto austral,Lessonia rufa,-54.844298,-68.564987,2013-12-22,184
Chingolo,Zonotrichia capensis,-54.854478,-68.573914,2013-12-22,184
Bandurria austral,Theristicus melanopis,-54.832139,-68.563271,2013-12-22,230
Zorzal patagónico,Turdus falcklandii,-54.8598694444,-68.5629744444,2014-01-30,184
Chimango,Daptrius chimango,-54.852081,-68.580287,2014-01-30,184
Garza bruja,Nycticorax nycticorax,-54.807669,-68.302723,2014-01-31,234
Gaviota cocinera,Larus dominicanus,-54.8007247248,-68.2850983168,2012-10-29,234
Remolinera araucana,Cinclodes patagonicus,-54.8007247248,-68.2850983168,2012-10-29,234
Cormorán cuello negro,Leucocarbo magellanicus,-54.8007247248,-68.2850983168,2012-10-29,234
Pato Crestón,Lophonetta specularioides,-54.804276397,-68.2947115142,2006-02-03,234
Gaviota cocinera,Larus dominicanus,-54.8090452343,-68.3085250854,2016-11-03,233
Águila mora,Geranoaetus melanoleucus,-54.8555319314,-68.5721314061,2018-01-08,184
Cormorán imperial,Leucocarbo atriceps,-54.8171796847,-68.2789306599,2018-01-08,234
Macá grande,Podiceps major,-54.8426045506,-68.5656054318,2018-01-08,184
Gaviota cocinera,Larus dominicanus,-54.8566969387,-68.4229561332,2015-03-13,186
Comesebo patagónico,Phrygilus patagonicus,-54.8411349495,-68.5595798492,2018-01-30,184
Zorzal patagónico,Turdus falcklandii,-54.8310756645,-68.563914299,2018-01-30,230
Chingolo,Zonotrichia capensis,-54.8308037571,-68.5636889935,2018-01-30,230
Cisne cuello negro,Cygnus melancoryphus,-54.8366987925,-68.5638391972,2018-01-30,230
Tero,Vanellus chilensis,-54.8068378202,-68.3002209663,2018-01-29,234
Gaviota cocinera,Larus dominicanus,-54.8062751268,-68.2981824875,2018-01-29,234
Gaviotín sudamericano,Sterna hirundinacea,-54.8070913389,-68.2974100113,2018-01-30,234
Cormorán cuello negro,Leucocarbo magellanicus,-54.8077096704,-68.2991695404,2018-01-29,234
Gaviotín sudamericano,Sterna hirundinacea,-54.8019121,-68.3029511,2018-03-03,234
Remolinera parda,Cinclodes fuscus,-54.8019121,-68.3029511,2018-03-03,234
Tordo patagónico,Curaeus curaeus,-54.8549561912,-68.5781088477,2010-10-28,184
Chimango,Daptrius chimango,-54.8525258538,-68.575630188,2010-10-28,184
Bandurria austral,Theristicus melanopis,-54.82185,-68.30338,2005-02-21,234
Dormilona fraile,Muscisaxicola flavinucha,-54.7862254,-68.4028492,2018-02-07,278
Dormilona cara negra,Muscisaxicola maclovianus,-54.7897805018,-68.3923735702,2018-01-24,278
Cisne cuello negro,Cygnus melancoryphus,-54.8795297712,-67.3270306286,2013-11-22,200
Bandurria austral,Theristicus melanopis,-54.8019121,-68.3029511,2009-12-28,234
Becasina Patagónica,Gallinago magellanica,-54.8019121,-68.3029511,2009-12-28,234
Ostrero negro,Haematopus ater,-54.8019121,-68.3029511,2010-01-05,234
Garza bruja,Nycticorax nycticorax,-54.8019121,-68.3029511,2010-01-05,234
Zorzal patagónico,Turdus falcklandii,-54.8080071574,-68.3636410747,2018-10-21,233
Pato Barcino,Anas flavirostris,-54.8062721212,-68.364928535,2018-10-21,233
Dormilona cara negra,Muscisaxicola maclovianus,-54.8058839999,-68.3653454646,2018-10-21,233
Comesebo patagónico,Phrygilus patagonicus,-54.8078626867,-68.363028036,2018-10-21,233
Gaviota cocinera,Larus dominicanus,-54.7893072217,-68.2524494088,2018-10-21,280
Matamico blanco,Daptrius albogularis,-54.789079717,-68.2532981747,2018-10-21,280
Águila mora,Geranoaetus melanoleucus,-54.7901980079,-68.2497028267,2018-10-21,280
Matamico blanco,Daptrius albogularis,-54.7899010813,-68.2520740469,2018-10-21,280
Matamico blanco,Daptrius albogularis,-54.79128672,-68.2511299093,2018-10-21,280
Águila mora,Geranoaetus melanoleucus,-54.7912731648,-68.2494991262,2018-10-21,280
Zorzal patagónico,Turdus falcklandii,-54.8460401675,-68.5495762083,2018-10-22,184
Cachaña,Enicognathus ferrugineus,-54.838231177,-68.5552410338,2018-10-22,230
Cisne cuello negro,Cygnus melancoryphus,-54.8391208851,-68.5581592772,2018-10-22,184
Caburé grande,Glaucidium nana,-54.841097944,-68.5586742613,2018-10-22,184
Diucón,Pyrope pyrope,-54.8426795214,-68.559017584,2018-10-22,184
Ostrero austral,Haematopus leucopodus,-54.8419875889,-68.5655407164,2018-10-22,184
,Curaeus curaeus,-54.8415921936,-68.5609058592,2018-10-22,184
Comesebo patagónico,Phrygilus patagonicus,-54.8443598794,-68.5615925047,2018-10-22,184
Pato Overo,Mareca sibilatrix,-54.8056551164,-68.2918361538,2018-10-22,234
Playerito unicolor,Calidris bairdii,-54.8049031601,-68.2904676333,2018-10-22,234
Sobrepuesto austral,Lessonia rufa,-54.8048536905,-68.2882360354,2018-10-22,234
Ostrero austral,Haematopus leucopodus,-54.8051999765,-68.2899526491,2018-10-22,234
Garza bruja,Nycticorax nycticorax,-54.8110456602,-68.3135751704,2018-10-23,233
Gaviota cocinera,Larus dominicanus,-54.8096124154,-68.3078006619,2018-10-24,233
Quetro volador,Tachyeres patachonicus,-54.8098745361,-68.3078054323,2018-10-24,233
Ostrero negro,Haematopus ater,-54.8099487312,-68.3096937075,2018-10-24,233
Garza bruja,Nycticorax nycticorax,-54.8098992678,-68.3093074694,2018-10-24,233
Gaviota cocinera,Larus dominicanus,-54.8101960475,-68.3098224535,2018-10-24,233
Pato Crestón,Lophonetta specularioides,-54.810220779,-68.3112815752,2018-10-24,233
Paloma Doméstica,Columba livia,-54.8101713159,-68.3108524218,2018-10-24,233
Ostrero negro,Haematopus ater,-54.8122981746,-68.31437148,2018-10-24,233
Pato Crestón,Lophonetta specularioides,-54.8127680469,-68.313126935,2018-10-24,233
Quetro volador,Tachyeres patachonicus,-54.813114265,-68.3152297869,2018-10-24,233
Tero,Vanellus chilensis,-54.8123476351,-68.3190203101,2018-10-24,233
Quetro volador,Tachyeres patachonicus,-54.8127680469,-68.3175252505,2018-10-24,233
Cormorán cuello negro,Leucocarbo magellanicus,-54.810319705,-68.3110450335,2018-10-24,233
Petrel plateado,Fulmarus glacialoides,-54.8081284737,-68.299217593,2018-10-24,234
Cormorán imperial,Leucocarbo atriceps,-54.8083955048,-68.2986406211,2018-10-24,234
Remolinera araucana,Cinclodes patagonicus,-54.8071959534,-68.3008507613,2018-10-24,234
Jote cabeza colorada,Cathartes aura,-54.8090385487,-68.2998207931,2018-10-24,234
Ostrero negro,Haematopus ater,-54.83641938,-68.350684274,2018-01-25,233
Cachirla goteada,Anthus correndera,-53.752079138,-67.7268252929,2018-01-27,1345
Becasina Patagónica,Gallinago magellanica,-54.8146660003,-68.3159868236,2018-01-28,233
Zorzal patagónico,Turdus falcklandii,-54.8053085421,-68.2976506381,2018-11-22,234
Tero,Vanellus chilensis,-54.8054809569,-68.2961086965,2018-11-22,234
Biguá,Nannopterum brasilianum,-54.8099793184,-68.308107246,2018-11-22,233
Remolinera araucana,Cinclodes patagonicus,-54.8091742187,-68.3078458624,2018-11-22,233
Cabecitanegra austral,Spinus barbatus,-54.8103756615,-68.3130304081,2018-11-22,233
Comesebo patagónico,Phrygilus patagonicus,-54.8092578675,-68.3078206916,2018-11-22,233
Quetro volador,Tachyeres patachonicus,-54.8132366769,-68.3170539658,2018-11-22,233
Chimango,Daptrius chimango,-54.8109549204,-68.3243478619,2018-11-23,233
Golondrina patagónica,Tachycineta leucopyga,-54.8110597188,-68.3245315784,2018-11-23,233
Rayadito,Aphrastura spinicauda,-54.8108873523,-68.3245242853,2018-11-23,233
Chimango,Daptrius chimango,-54.8096378281,-68.3275432592,2018-11-23,233
Cormorán cuello negro,Leucocarbo magellanicus,-54.8104861771,-68.3123770904,2018-01-25,233
Remolinera araucana,Cinclodes patagonicus,-54.8552356619,-68.5734441876,2018-01-24,184
Remolinera parda,Cinclodes fuscus,-54.78,-68.39,2018-11-17,278
Cormorán cuello negro,Leucocarbo magellanicus,-54.8010710461,-68.2816221739,2017-12-03,234
Carancho,Caracara plancus,-54.8327666667,-68.56402,2017-01-26,230
Chingolo,Zonotrichia capensis,-54.691425,-68.1275555,2018-12-21,374
Chingolo,Zonotrichia capensis,-54.8553916667,-68.5736833333,2018-11-27,184
Cisne cuello negro,Cygnus melancoryphus,-54.8455236503,-68.5635138325,2018-11-27,184
Pato maicero,Anas georgica,-54.8434653796,-68.5633399979,2018-11-27,184
Zorzal patagónico,Turdus falcklandii,-54.8308014961,-68.5568496676,2018-11-27,230
Halconcito colorado,Falco sparverius,-53.3610516033,-68.3244583235,2013-03-05,1705
Chimango,Daptrius chimango,-54.8718719,-67.4210587,2014-01-06,199
,Curaeus curaeus,-54.8685132195,-67.4464647487,2012-01-07,199
Chimango,Daptrius chimango,-54.8786057839,-67.2884878554,2012-01-07,201
Gaviota cocinera,Larus dominicanus,-54.801071,-68.281622,2017-12-03,234
Quetro volador,Tachyeres patachonicus,-54.801071,-68.281622,2017-12-03,234
Ostrero negro,Haematopus ater,-54.801071,-68.281622,2017-12-03,234
Carancho,Caracara plancus,-54.8305866667,-68.5639283333,2019-01-17,230
Coscoroba,Coscoroba coscoroba,-54.8463006289,-68.58031194,2018-12-18,184
Gaviota cocinera,Larus dominicanus,-54.8560898665,-68.5706587137,2018-12-18,184
Carancho,Caracara plancus,-54.8712833333,-67.57003,2019-02-07,197
Tero,Vanellus chilensis,-54.7994116667,-68.3703783333,2019-02-07,233
Pato Crestón,Lophonetta specularioides,-54.8172667153,-68.3184444051,2019-01-16,233
Pato Barcino,Anas flavirostris,-54.8171957462,-68.3184907893,2019-01-16,233
Cachirla goteada,Anthus correndera,-54.8170565556,-68.3185731588,2019-01-16,233
Carancho,Caracara plancus,-54.7885468763,-68.2210563271,2019-01-16,281
Pato Overo,Mareca sibilatrix,-54.8171431012,-68.3182512937,2019-01-16,233
Chingolo,Zonotrichia capensis,-54.7881357666,-68.2204284786,2019-01-16,281
Águila mora,Geranoaetus melanoleucus,-54.7876721309,-68.2206967463,2019-01-16,281
Matamico blanco,Daptrius albogularis,-54.7870444067,-68.2200101008,2019-01-16,281
Quetro volador,Tachyeres patachonicus,-54.8103796191,-68.3135091481,2019-01-16,233
Cormorán imperial,Leucocarbo atriceps,-54.8102484648,-68.3128452557,2019-01-16,233
Pato maicero,Anas georgica,-54.8162515564,-68.3214228617,2019-01-16,233
Pato cuchara,Spatula platalea,-54.8158064528,-68.3187649831,2019-01-16,233
Becasina Patagónica,Gallinago magellanica,-54.8155591709,-68.3185933217,2019-01-16,233
Tero,Vanellus chilensis,-54.8164493787,-68.3200524434,2019-01-16,233
Quetro volador,Tachyeres patachonicus,-54.81278951,-68.3131859883,2019-01-16,233
Garza bruja,Nycticorax nycticorax,-54.8132909107,-68.3122208896,2019-01-16,233
Chimango,Daptrius chimango,-54.788819273,-68.2207612467,2019-01-16,281
Remolinera parda,Cinclodes fuscus,-54.8340502768,-68.4254095125,2019-01-17,232
Cabecitanegra austral,Spinus barbatus,-54.8353054402,-68.4230708277,2019-01-17,232
Cisne cuello negro,Cygnus melancoryphus,-54.8380735572,-68.5641460882,2019-01-17,230
Chingolo,Zonotrichia capensis,-54.8411380371,-68.5614853368,2019-01-17,184
Fiofío silbón,Elaenia albiceps,-54.8403966521,-68.5616586207,2019-01-17,184
Rayadito,Aphrastura spinicauda,-54.838716129,-68.5620003209,2019-01-17,230
Comesebo patagónico,Phrygilus patagonicus,-54.8445585986,-68.5635900374,2019-01-17,184
Cachudito pico negro,Anairetes parulus,-54.8445852985,-68.5645225961,2019-01-17,184
Remolinera araucana,Cinclodes patagonicus,-54.8548264988,-68.5749607549,2019-01-17,184
Coscoroba,Coscoroba coscoroba,-54.8539453719,-68.5747216393,2019-01-17,184
Sobrepuesto austral,Lessonia rufa,-54.8439881238,-68.5708837972,2019-01-17,184
Tero,Vanellus chilensis,-54.8437574883,-68.570240067,2019-01-17,184
Gaviota cocinera,Larus dominicanus,-54.8080927129,-68.3033666612,2011-11-06,234
Chimango,Daptrius chimango,-54.8174362322,-68.3705578697,2011-11-07,233
Chimango,Daptrius chimango,-54.7751877185,-68.2160904433,2019-02-05,281
Cormorán imperial,Leucocarbo atriceps,-54.8348611111,-68.2563388889,2019-02-06,234
Macá grande,Podiceps major,-54.8465633333,-68.566925,2018-12-04,184
Tero,Vanellus chilensis,-54.8049466667,-68.3570416667,2018-12-02,233
Gaviota cocinera,Larus dominicanus,-54.80887,-68.3076783333,2018-12-02,233
Gaviota cocinera,Larus dominicanus,-54.84692,-68.4801716667,2018-05-05,185
Tero,Vanellus chilensis,-54.8060111683,-68.2973784953,2019-03-19,234
Martín pescador grande,Megaceryle torquata,-54.8785263311,-67.3275865407,2019-03-20,200
